Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FSPSX,3430,0.0690637322837836,0.0567524636256245,0,-0.413414312957871,-0.286473211964353,0.000137451078285531,-0.209323214998035,-0.106986700905236,0.143396093397538,0.977912337247868,-0.919301261740302,8.02
FSPTX,11039,0.128679851868339,0.0951443077591796,0,-0.584029558987012,-0.44062916392192,0.000367706309240824,-0.101437219398952,-0.0714826595735505,0.124734176825949,0.988108004765563,-0.615176089579709,8.02
FSRBX,9784,0.0899278200573062,0.0550175740555607,0,-0.617064350137556,-0.43439547256524,0.000527526013109814,-0.104779668462927,-0.0720580801726891,0.179549445859902,0.988302368119776,-0.271204824622312,8.02
FSRFX,9721,0.109001599163612,0.0908766089271995,0,-0.582960795319078,-0.420926966193766,0.00044259338459894,-0.120785226904831,-0.0696448547110266,0.127411068952281,0.986637069641544,-0.621885948181539,8.02
FSRNX,3429,0.0656369584338773,0.0448263435025018,0,-0.54283974563655,-0.373850455200776,0.000218076117293314,-0.153763216066286,-0.0818832112882452,0.137192164031937,0.983108602000383,-0.932446498406498,8.04817808042837
FSRPX,9919,0.126556320453463,0.110277154174443,0,-0.484790409953192,-0.330164404439372,0.000598544035360765,-0.166799246016696,-0.0807785082462562,0.163581984233552,0.981663448139948,-0.881926350956585,8.48478744186292
FSRRX,4940,0.0342353223672505,0.0322796275271304,0,-0.471573586409148,-0.3202217299896,0.000118192441057502,-0.0818856246843631,-0.0354861023198319,0.124984331149626,0.992691745781232,-0.82408960026522,8.32388981668407
FSSMX,3243,0.100912912643493,0.0851864776130651,0,-0.548698808686713,-0.372344428910395,0.000198182899849019,-0.189019993947035,-0.134445382161269,0.157414531736452,0.979503504771962,-1.64711457403876,9.93692154158916
FSSNX,3429,0.0932764106599845,0.0703574691190692,0,-0.527855973672797,-0.374955848852911,0.000169178259318998,-0.173113189943165,-0.106676217508899,0.14141074827576,0.98044771219648,-1.15086352098499,10.1836622188609
FSTCX,10016,0.089083854688239,0.0694218112187073,0,-0.510253778836042,-0.355015368747272,0.000428911628901182,-0.144159077968221,-0.0643791374707118,0.17147683012862,0.984220103849477,-0.639246958044601,8.02
FSTFX,9660,0.0330465146088082,0.033406879379275,0,-0.0281697006492517,-0.0117732352854354,0.00013277577968413,-0.428708344012598,-0.0867616056113905,0.16549035661818,0.969085167114883,1.43118057082742,8.02
FSTGX,9320,0.0425234012908724,0.0428694363834992,0,-0.0750532300067684,-0.0439891063450562,0.000138233741974908,-0.0480204659507451,-0.0110549204966615,0.0758921115954426,0.996159066423803,0.923085764244051,8.02
FSUDX,484,0.0591829650161997,0.0595807642543169,0,-0.0757812293833504,-0.0469029811576608,0.000223468066607839,-9.9999999999999,0.014991987410895,0.270985811052387,0.131358885349405,-0.254245259305279,8.02000000000001
FSUTX,10934,0.105350309995911,0.0958355294507973,0,-0.197786749123195,-0.144990600443964,2.68372864333778e-15,-0.0610332957428371,-0.0680515943432987,0.0835082991154008,0.99334747175478,0.142668200608988,8.02
FSUYX,483,0.0666118733246692,0.0669855338321088,0,-0.110151677942754,-0.0714398628359324,0.00021728078771311,-0.800011060186428,-0.0870321507497634,0.0467543029421622,0.928691701284928,-0.117894059917704,8.02
FSVLX,9919,0.0818390974755331,0.0560403921511545,0,-0.576931250561268,-0.405346693486447,0.000710731694525197,-0.158410647476391,-0.0664650604795939,0.185989588255484,0.982709899005752,-0.470718771594714,8.02000000000049
FSVNX,483,0.0734274814903885,0.07348781685716,0,-0.150306372081879,-0.0989046146666536,0.000173295544680533,-0.160320732100058,-0.0736504647706229,-0.156764582417401,0.985978955491511,-0.204074744156983,8.83998058881755
FSWDX,481,0.0838111344335541,0.0837029212169462,0,-0.163920022557066,-0.110043693269606,0.000254760576606755,-0.756591625986203,-0.113533861802784,0.0637932402539901,0.928692770435143,-0.321889075366346,8.1280979601043
FSWOX,482,0.0896001869550276,0.0889609413688934,0,-0.189822720857249,-0.129593636859282,0.000258205297310111,-0.706329934893088,-0.115711351932288,0.0653556431223899,0.932031112753778,-0.390058061478885,8.02
FSXAX,482,0.0966747119057008,0.0959143606646009,0,-0.201896649887652,-0.136929184672221,0.000286671452802368,-0.689581642490779,-0.12141338476071,0.0622957128612327,0.93281625146109,-0.488936945685728,8.02
FSXKX,482,0.10885046110239,0.107929079201597,0,-0.219296202237338,-0.147399177460388,0.000331758895268484,-0.764443271806085,-0.143287223666789,0.0662324748534641,0.924179692964754,-0.550971308700519,8.02
FSXVX,482,0.121446259769568,0.119319257251751,0,-0.271884103356012,-0.184490543325915,0.000342014053324383,-0.667495342999072,-0.153407431475841,0.0670694258088988,0.931892470316134,-0.863442688532408,8.55361438258611
