Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FHBZX,1673,0.031540576231709,0.0307150621313255,0,-0.192854416088429,-0.127973173750004,0.000165786959453723,-0.128868395545356,-0.0659333545160824,0.126693878287834,0.98908072499157,-0.24390018297264,2.36869242501361
FHIFX,5193,0.0480764747895712,0.0480113513258358,1,0.202508803930702,0.206735692940444,0.000778376506092955,-2.57219918203596,-0.286319764679756,2.56331175149673,0.901539879336346,-0.097039248206399,1.56309916132054
FHIGX,11425,0.0569757420717141,0.0576394355962124,0,-0.205215122846017,-0.135135655988873,0.000336316305124831,-0.3582751900557,-0.0836113659680725,0.28779879950276,0.970709063698702,0.297359863996901,0.32476993747575
FHKCX,7318,0.0762542033120497,0.0499133270413534,0,-0.575514886000825,-0.427768901333889,0.000457793027270654,-0.139357873182248,-0.0565218199715099,0.158543193977984,0.984116854446395,-0.129906209260672,2.25114859167318
FHLKX,1294,0.0332953954849449,0.0308976393235503,0,-0.255501560489598,-0.181686827686869,0.000150327998199479,-0.156878662466536,-0.0839256300519945,0.0876773209851806,0.985840668194791,-0.273795891216457,2.62943962835432
FHLSX,1289,0.046648424064098,0.0450280304636863,0,-0.284858852170854,-0.198190026498427,0.000159753807746424,-0.104061883523668,-0.0762432192536612,0.0728859068648017,0.990614890881971,-0.253900456918944,2.55034556121725
FHSNX,1289,0.0454384428622964,0.0434350828016363,0,-0.277591038825386,-0.192239139528236,0.000129564704510382,-0.106713316018847,-0.0828075703159796,0.0834903923365349,0.990273341278986,-0.257728634742495,2.58515417049353
FIAEX,757,0.019806707896564,0.0178298695897796,0,-0.212738712571677,-0.167464335091936,-0.000144972169555707,-0.0201481032713849,-0.0330475218471999,-0.0504329620389505,0.997848002021608,-0.0942893700643,22.9656557085381
FICDX,8776,0.081131746789178,0.0661917175016706,0,-0.563444543652877,-0.385460396098529,0.000291431058490812,-0.125723230274677,-0.0618396094746966,0.161876690106133,0.986595541712793,-0.254441397556806,2.96658706523911
FICNX,9446,0.0462140749460595,0.046613654905592,0,-0.214659094318025,-0.141477082651546,0.000206259308080196,-0.212507919952153,-0.048518543623549,0.207598936901122,0.982941379265304,0.179573732318961,0.31650420820211
FIDSX,10934,0.107608908742556,0.0845453833271539,0,-0.53073842929589,-0.391879770508577,0.000155154588901145,-0.0388064671804095,-0.0430849799689491,0.0720924928128551,0.995385660191394,-0.0647606476121285,0.486371294075649
