Date,SP500TR
2014-04-22,3391.580078125
2014-04-21,3377.75
2014-04-17,3365
2014-04-16,3360.2700195312
2014-04-15,3325.3000488281
2014-04-14,3302.9799804688
2014-04-11,3276.0400390625
2014-04-10,3307.080078125
2014-04-09,3377.6101074219
2014-04-08,3340.8400878906
2014-04-07,3327.2700195312
2014-04-04,3363.4099121094
2014-04-03,3406
2014-04-02,3409.8000488281
2014-04-01,3399.5100097656
2014-03-31,3375.5100097656
2014-03-28,3348.830078125
2014-03-27,3333.2299804688
2014-03-26,3339
2014-03-25,3362.4399414062
2014-03-24,3347.3601074219
2014-03-21,3363.7199707031
2014-03-20,3373.6000976562
2014-03-19,3353.2900390625
2014-03-18,3373.9799804688
2014-03-17,3349.7099609375
2014-03-14,3317.8100585938
2014-03-13,3327.1101074219
2014-03-12,3366.0700683594
2014-03-11,3364.169921875
2014-03-10,3381.2199707031
2014-03-07,3382.5700683594
2014-03-06,3380.4899902344
2014-03-05,3374.1000976562
2014-03-04,3373.6398925781
2014-03-03,3322.8500976562
2014-02-28,3347.3798828125
2014-02-27,3338.0500488281
2014-02-26,3321.1499023438
2014-02-25,3320.4299316406
2014-02-24,3324.8400878906
2014-02-21,3304.3601074219
2014-02-20,3310.2700195312
2014-02-19,3289.830078125
2014-02-18,3311.2700195312
2014-02-14,3306.919921875
2014-02-13,3290.8200683594
2014-02-12,3271.4699707031
2014-02-11,3270.7399902344
2014-02-10,3234.7900390625
2014-02-07,3229.6499023438
2014-02-06,3187.25
2014-02-05,3146.4899902344
2014-02-04,3151.9399414062
2014-02-03,3127.8701171875
2014-01-31,3200.9499511719
2014-01-30,3221.7800292969
2014-01-29,3185.6999511719
2014-01-28,3218.2099609375
2014-01-27,3198.5700683594
2014-01-24,3214.1398925781
2014-01-23,3282.6398925781
2014-01-22,3312.0400390625
2014-01-21,3309.7399902344
2014-01-17,3300.5100097656
2014-01-16,3313.3601074219
2014-01-15,3317.75
2014-01-14,3300.6101074219
2014-01-13,3265.2700195312
2014-01-10,3306.4899902344
2014-01-09,3298.8701171875
2014-01-08,3297.7399902344
2014-01-07,3297.4499511719
2014-01-06,3277.4799804688
2014-01-03,3285.6799316406
2014-01-02,3286.6899414062
2013-12-31,3315.5900878906
2013-12-30,3302.3000488281
2013-12-27,3302.6599121094
2013-12-26,3303.1499023438
2013-12-24,3287.5500488281
2013-12-23,3277.6201171875
2013-12-20,3259.7900390625
2013-12-19,3244.1499023438
2013-12-18,3245.5900878906
2013-12-17,3192.330078125
2013-12-16,3202.2199707031
2013-12-13,3182.0700683594
2013-12-12,3182.330078125
2013-12-11,3193.5200195312
2013-12-10,3229.7199707031
2013-12-09,3239.9899902344
2013-12-06,3233.9899902344
2013-12-05,3197.7600097656
2013-12-04,3211.5900878906
2013-12-03,3214.9499511719
2013-12-02,3225.0600585938
2013-11-29,3233.7199707031
2013-11-27,3236.1398925781
2013-11-26,3227.3601074219
2013-11-25,3226.5300292969
2013-11-22,3230.5400390625
2013-11-21,3214.1599121094
2013-11-20,3188.0400390625
2013-11-19,3199.5200195312
2013-11-18,3205.4599609375
2013-11-15,3217.1999511719
2013-11-14,3203.6499023438
2013-11-13,3187.6398925781
2013-11-12,3161.1000976562
2013-11-11,3168.4099121094
2013-11-08,3166.1101074219
2013-11-07,3124.1201171875
2013-11-06,3165.1298828125
2013-11-05,3149.9599609375
2013-11-04,3158.4699707031
2013-11-01,3147.2099609375
2013-10-31,3138.0900878906
2013-10-30,3149.9299316406
2013-10-29,3165.1101074219
2013-10-28,3147.3601074219
2013-10-25,3143.1599121094
2013-10-24,3129.4099121094
2013-10-23,3119.1999511719
2013-10-22,3133.9799804688
2013-10-21,3116.0900878906
2013-10-18,3115.7700195312
2013-10-17,3095.419921875
2013-10-16,3074.5400390625
2013-10-15,3032.2700195312
2013-10-14,3053.8400878906
2013-10-11,3041.4299316406
2013-10-10,3022.4299316406
2013-10-09,2957.3999023438
2013-10-08,2955.4099121094
2013-10-07,2991.3898925781
2013-10-04,3017.0500488281
2013-10-03,2995.8100585938
2013-10-02,3022.9499511719
2013-10-01,3024.3798828125
2013-09-30,3000.1799316406
2013-09-27,3018.2399902344
2013-09-26,3030.4099121094
2013-09-25,3019.3100585938
2013-09-24,3027.5200195312
2013-09-23,3035.0900878906
2013-09-20,3049.4699707031
2013-09-19,3071.6101074219
2013-09-18,3076.8100585938
2013-09-17,3039.75
2013-09-16,3026.9399414062
2013-09-13,3009.7900390625
2013-09-12,3001.6201171875
2013-09-11,3010.9399414062
2013-09-10,3001.3601074219
2013-09-09,2979.4499511719
2013-09-06,2949.8000488281
2013-09-05,2949.2700195312
2013-09-04,2945.6201171875
2013-09-03,2921.2299804688
2013-08-30,2908.9599609375
2013-08-29,2917.9599609375
2013-08-28,2911.830078125
2013-08-27,2903.2900390625
2013-08-26,2950.1298828125
2013-08-23,2962.0600585938
2013-08-22,2949.9599609375
2013-08-21,2924.7299804688
2013-08-20,2941.580078125
2013-08-19,2930.2700195312
2013-08-16,2947.4599609375
2013-08-15,2957.080078125
2013-08-14,2999.419921875
2013-08-13,3014.4299316406
2013-08-12,3005.419921875
2013-08-09,3008.7900390625
2013-08-08,3019
2013-08-07,3006.6298828125
2013-08-06,3017.1599121094
2013-08-05,3034.4299316406
2013-08-02,3038.6298828125
2013-08-01,3033.5900878906
2013-07-31,2995.7199707031
2013-07-30,2995.6799316406
2013-07-29,2994.4499511719
2013-07-26,3005.5100097656
2013-07-25,3003.0100097656
2013-07-24,2995.3000488281
2013-07-23,3006.7199707031
2013-07-22,3012.3000488281
2013-07-19,3006.1298828125
2013-07-18,3001.2099609375
2013-07-17,2985.8500976562
2013-07-16,2977.2600097656
2013-07-15,2988.3500976562
2013-07-12,2984.2399902344
2013-07-11,2975.0600585938
2013-07-10,2934.9699707031
2013-07-09,2934.3100585938
2013-07-08,2913.1999511719
2013-07-05,2897.1201171875
2013-07-03,2867.8500976562
2013-07-02,2865.4799804688
2013-07-01,2866.4099121094
2013-06-28,2850.6599121094
2013-06-27,2862.919921875
2013-06-26,2845.0400390625
2013-06-25,2817.4399414062
2013-06-24,2790.6599121094
2013-06-21,2824.9699707031
